PM2.5,CO,SO2,NO2,PM10,No,year,month,day,hour,O3,TEMP,PRES,DEWP,RAIN,WSPM,wd,station
22.0,500.0,24.0,44.0,24.0,25.0,2010.0,3.0,2.0,0.0,44.0,-0.4,1030.0,-17.6,0.0,1.4,ENE,Aotizhongxin
14.0,400.0,21.0,36.0,17.0,26.0,2010.0,3.0,2.0,1.0,50.0,-1.0,1030.0,-17.3,0.0,1.1,NNE,Aotizhongxin
13.0,400.0,20.0,37.0,13.0,27.0,2010.0,3.0,2.0,2.0,47.0,-1.5,1030.0,-16.9,0.0,1.7,E,Aotizhongxin
3.0,400.0,13.0,34.0,9.0,28.0,2010.0,3.0,2.0,3.0,52.0,-1.4,1030.0,-17.6,0.0,1.4,NNE,Aotizhongxin
3.0,400.0,18.0,43.0,7.0,29.0,2010.0,3.0,2.0,4.0,43.0,-1.5,1030.0,-17.7,0.0,0.9,NNW,Aotizhongxin
9.0,500.0,19.0,70.0,11.0,30.0,2010.0,3.0,2.0,5.0,20.0,-1.8,1030.0,-17.5,0.0,2.0,NNE,Aotizhongxin
4.0,500.0,28.0,46.0,10.0,31.0,2010.0,3.0,2.0,6.0,39.0,-2.5,1030.0,-17.7,0.0,0.7,NW,Aotizhongxin
3.0,500.0,34.0,58.0,11.0,32.0,2010.0,3.0,2.0,7.0,27.0,-1.7,1030.0,-17.0,0.0,1.2,NE,Aotizhongxin
3.0,500.0,21.0,49.0,7.0,33.0,2010.0,3.0,2.0,8.0,43.0,-0.4,1030.0,-17.6,0.0,1.8,NE,Aotizhongxin
10.0,700.0,47.0,62.0,14.0,34.0,2010.0,3.0,2.0,9.0,29.0,0.6,1030.0,-16.7,0.0,1.7,NE,Aotizhongxin
11.0,600.0,36.0,60.0,19.0,35.0,2010.0,3.0,2.0,10.0,34.0,1.7,1030.0,-16.3,0.0,1.6,W,Aotizhongxin
18.0,800.0,36.0,70.0,29.0,36.0,2010.0,3.0,2.0,11.0,27.0,2.2,1030.0,-16.8,0.0,3.1,SSW,Aotizhongxin
26.0,900.0,25.0,76.0,30.0,37.0,2010.0,3.0,2.0,12.0,22.0,2.7,1030.0,-16.4,0.0,2.7,WSW,Aotizhongxin
25.0,700.0,20.0,57.0,33.0,38.0,2010.0,3.0,2.0,13.0,39.0,3.3,1030.0,-16.4,0.0,1.5,W,Aotizhongxin
26.0,700.0,22.0,54.0,35.0,39.0,2010.0,3.0,2.0,14.0,43.0,3.8,1020.0,-16.0,0.0,1.3,SE,Aotizhongxin
37.0,700.0,24.0,55.0,40.0,40.0,2010.0,3.0,2.0,15.0,44.0,3.9,1020.0,-16.5,0.0,1.2,WNW,Aotizhongxin
37.0,1000.0,29.0,63.0,46.0,41.0,2010.0,3.0,2.0,16.0,38.0,3.5,1020.0,-15.2,0.0,2.5,WSW,Aotizhongxin
44.0,1200.0,45.0,77.0,58.0,42.0,2010.0,3.0,2.0,17.0,30.0,2.2,1020.0,-13.6,0.0,0.4,SSE,Aotizhongxin
54.0,1100.0,50.0,80.0,79.0,43.0,2010.0,3.0,2.0,18.0,24.0,1.2,1020.0,-12.3,0.0,0.9,W,Aotizhongxin
61.0,1300.0,50.0,97.0,86.0,44.0,2010.0,3.0,2.0,19.0,10.0,1.5,1020.0,-13.8,0.0,1.2,NE,Aotizhongxin
67.0,1400.0,54.0,108.0,96.0,45.0,2010.0,3.0,2.0,20.0,2.0,1.2,1020.0,-14.1,0.0,1.2,NNE,Aotizhongxin
74.0,1400.0,72.0,107.0,103.0,46.0,2010.0,3.0,2.0,21.0,2.0,0.6,1020.0,-14.2,0.0,1.3,NE,Aotizhongxin
81.0,1500.0,84.0,110.0,113.0,47.0,2010.0,3.0,2.0,22.0,3.0,-0.6,1020.0,-13.9,0.0,1.4,NNE,Aotizhongxin
93.0,1700.0,87.0,107.0,120.0,48.0,2010.0,3.0,2.0,23.0,2.0,-0.8,1020.0,-13.4,0.0,1.3,N,Aotizhongxin
112.0,1900.0,73.0,100.0,130.0,49.0,2010.0,3.0,3.0,0.0,2.0,-1.4,1020.0,-13.0,0.0,1.2,NNE,Aotizhongxin
109.0,2200.0,80.0,101.0,132.0,50.0,2010.0,3.0,3.0,1.0,2.0,-2.0,1020.0,-13.2,0.0,1.2,NE,Aotizhongxin
110.0,2400.0,98.0,99.0,132.0,51.0,2010.0,3.0,3.0,2.0,2.0,-2.8,1020.0,-12.3,0.0,1.4,NE,Aotizhongxin
105.0,2500.0,88.0,100.0,129.0,52.0,2010.0,3.0,3.0,3.0,2.0,-2.6,1020.0,-13.2,0.0,1.2,NE,Aotizhongxin
106.0,2800.0,79.0,92.0,136.0,53.0,2010.0,3.0,3.0,4.0,2.0,-4.3,1020.0,-11.8,0.0,0.9,NNE,Aotizhongxin
101.0,2400.0,64.0,87.0,135.0,54.0,2010.0,3.0,3.0,5.0,2.0,-5.6,1020.0,-10.9,0.0,0.8,N,Aotizhongxin
91.0,2100.0,67.0,87.0,142.0,55.0,2010.0,3.0,3.0,6.0,2.0,-5.8,1020.0,-11.0,0.0,0.8,NNE,Aotizhongxin
79.0,2000.0,83.0,91.0,116.0,56.0,2010.0,3.0,3.0,7.0,2.0,-3.1,1020.0,-11.1,0.0,1.5,NE,Aotizhongxin
77.0,2300.0,123.0,90.0,110.0,57.0,2010.0,3.0,3.0,8.0,2.0,0.7,1020.0,-13.0,0.0,2.3,NNE,Aotizhongxin
83.0,2600.0,135.0,90.0,119.0,58.0,2010.0,3.0,3.0,9.0,3.0,3.5,1020.0,-13.8,0.0,0.4,NNE,Aotizhongxin
94.0,1800.0,116.0,90.0,122.0,59.0,2010.0,3.0,3.0,10.0,9.0,6.5,1010.0,-13.2,0.0,1.3,N,Aotizhongxin
96.0,1600.0,89.0,93.0,117.0,60.0,2010.0,3.0,3.0,11.0,14.0,11.4,1010.0,-10.8,0.0,0.9,ESE,Aotizhongxin
91.0,1600.0,77.0,99.0,108.0,61.0,2010.0,3.0,3.0,12.0,14.0,13.8,1010.0,-13.3,0.0,1.1,W,Aotizhongxin
98.0,1200.0,50.0,81.0,134.0,62.0,2010.0,3.0,3.0,13.0,33.0,16.0,1010.0,-13.5,0.0,5.9,W,Aotizhongxin
72.0,900.0,31.0,57.0,106.0,63.0,2010.0,3.0,3.0,14.0,51.0,16.7,1010.0,-14.0,0.0,4.3,WNW,Aotizhongxin
48.0,500.0,14.0,17.0,114.0,64.0,2010.0,3.0,3.0,15.0,77.0,16.9,1010.0,-12.7,0.0,2.0,WNW,Aotizhongxin
28.0,400.0,12.0,17.0,100.0,65.0,2010.0,3.0,3.0,16.0,77.0,16.4,1010.0,-15.4,0.0,2.9,NW,Aotizhongxin
26.0,400.0,9.0,19.0,103.0,66.0,2010.0,3.0,3.0,17.0,73.0,13.1,1010.0,-10.1,0.0,1.7,WSW,Aotizhongxin
24.0,500.0,8.0,27.0,82.0,67.0,2010.0,3.0,3.0,18.0,66.0,8.7,1010.0,-11.3,0.0,1.6,NW,Aotizhongxin
19.0,1300.0,26.0,98.0,71.0,68.0,2010.0,3.0,3.0,19.0,11.0,12.2,1010.0,-13.7,0.0,2.0,NNW,Aotizhongxin
60.0,2000.0,64.0,135.0,175.0,69.0,2010.0,3.0,3.0,20.0,4.0,11.7,1010.0,-12.6,0.0,0.9,N,Aotizhongxin
117.0,1100.0,28.0,100.0,181.0,70.0,2010.0,3.0,3.0,21.0,5.0,5.3,1010.0,-10.9,0.0,0.0,N,Aotizhongxin
54.0,1200.0,28.0,90.0,105.0,71.0,2010.0,3.0,3.0,22.0,2.0,3.1,1010.0,-10.2,0.0,1.8,NNE,Aotizhongxin
46.0,1200.0,29.0,84.0,94.0,72.0,2010.0,3.0,3.0,23.0,2.0,5.2,1010.0,-10.6,0.0,1.7,NNW,Aotizhongxin
42.0,1300.0,51.0,86.0,83.0,73.0,2010.0,3.0,4.0,0.0,4.0,7.7,1020.0,-11.1,0.0,2.6,N,Aotizhongxin
49.0,1000.0,39.0,64.0,80.0,74.0,2010.0,3.0,4.0,1.0,25.0,8.2,1020.0,-11.7,0.0,2.8,N,Aotizhongxin
10.0,400.0,18.0,45.0,24.0,78.0,2010.0,3.0,4.0,5.0,40.0,2.7,1020.0,-10.9,0.0,0.5,SSE,Aotizhongxin
13.0,500.0,24.0,65.0,32.0,79.0,2010.0,3.0,4.0,6.0,22.0,3.8,1020.0,-11.4,0.0,2.3,N,Aotizhongxin
14.0,600.0,30.0,70.0,36.0,80.0,2010.0,3.0,4.0,7.0,17.0,6.5,1020.0,-10.7,0.0,2.3,N,Aotizhongxin
13.0,700.0,38.0,70.0,35.0,81.0,2010.0,3.0,4.0,8.0,21.0,9.0,1020.0,-12.2,0.0,3.1,NE,Aotizhongxin
15.0,500.0,26.0,36.0,32.0,82.0,2010.0,3.0,4.0,9.0,52.0,10.6,1020.0,-12.1,0.0,1.3,NNE,Aotizhongxin
16.0,600.0,22.0,36.0,24.0,83.0,2010.0,3.0,4.0,10.0,57.0,11.9,1020.0,-12.4,0.0,2.1,NE,Aotizhongxin
18.0,400.0,18.0,27.0,33.0,84.0,2010.0,3.0,4.0,11.0,68.0,13.1,1020.0,-13.0,0.0,3.0,NE,Aotizhongxin
13.0,400.0,12.0,14.0,28.0,85.0,2010.0,3.0,4.0,12.0,77.0,14.2,1020.0,-13.9,0.0,2.7,N,Aotizhongxin
3.0,300.0,7.0,12.0,12.0,86.0,2010.0,3.0,4.0,13.0,82.0,15.3,1020.0,-13.0,0.0,2.0,S,Aotizhongxin
3.0,400.0,8.0,13.0,10.0,87.0,2010.0,3.0,4.0,14.0,84.0,15.2,1020.0,-13.1,0.0,0.7,SW,Aotizhongxin
10.0,400.0,9.0,15.0,13.0,88.0,2010.0,3.0,4.0,15.0,84.0,15.3,1020.0,-13.0,0.0,2.4,SSW,Aotizhongxin
14.0,500.0,10.0,34.0,20.0,89.0,2010.0,3.0,4.0,16.0,70.0,14.5,1020.0,-13.7,0.0,2.6,S,Aotizhongxin
20.0,500.0,14.0,40.0,33.0,90.0,2010.0,3.0,4.0,17.0,78.0,12.7,1020.0,-11.8,0.0,2.6,SW,Aotizhongxin
25.0,600.0,13.0,43.0,44.0,91.0,2010.0,3.0,4.0,18.0,75.0,11.6,1020.0,-11.3,0.0,3.4,SSW,Aotizhongxin
31.0,700.0,17.0,61.0,63.0,92.0,2010.0,3.0,4.0,19.0,53.0,10.9,1020.0,-10.6,0.0,3.5,SW,Aotizhongxin
34.0,800.0,18.0,76.0,84.0,93.0,2010.0,3.0,4.0,20.0,40.0,9.9,1020.0,-10.3,0.0,3.1,SSW,Aotizhongxin
40.0,800.0,40.0,76.0,85.0,94.0,2010.0,3.0,4.0,21.0,39.0,8.4,1020.0,-10.0,0.0,2.1,SSW,Aotizhongxin
51.0,1000.0,46.0,85.0,91.0,95.0,2010.0,3.0,4.0,22.0,31.0,8.6,1020.0,-9.9,0.0,2.4,SSW,Aotizhongxin
58.0,1100.0,46.0,86.0,94.0,96.0,2010.0,3.0,4.0,23.0,84.0,7.7,1020.0,-9.3,0.0,2.1,SW,Aotizhongxin
71.0,1100.0,66.0,78.0,108.0,97.0,2010.0,3.0,5.0,0.0,84.0,4.7,1020.0,-9.1,0.0,1.6,SW,Aotizhongxin
91.0,1200.0,75.0,75.0,127.0,98.0,2010.0,3.0,5.0,1.0,84.0,1.1,1010.0,-7.9,0.0,0.0,SW,Aotizhongxin
100.0,1200.0,58.0,79.0,129.0,99.0,2010.0,3.0,5.0,2.0,84.0,-0.6,1010.0,-8.1,0.0,0.0,S,Aotizhongxin
103.0,1400.0,66.0,83.0,130.0,100.0,2010.0,3.0,5.0,3.0,84.0,0.2,1010.0,-8.8,0.0,1.2,NE,Aotizhongxin
115.0,2300.0,76.0,92.0,151.0,101.0,2010.0,3.0,5.0,4.0,84.0,1.8,1010.0,-9.5,0.0,1.5,NE,Aotizhongxin
117.0,2400.0,91.0,91.0,153.0,102.0,2010.0,3.0,5.0,5.0,84.0,0.6,1010.0,-9.4,0.0,0.8,N,Aotizhongxin
104.0,2200.0,94.0,89.0,145.0,103.0,2010.0,3.0,5.0,6.0,84.0,-0.2,1010.0,-8.6,0.0,1.3,NE,Aotizhongxin
106.0,2300.0,82.0,87.0,146.0,104.0,2010.0,3.0,5.0,7.0,84.0,2.9,1010.0,-9.1,0.0,1.3,NNE,Aotizhongxin
111.0,2400.0,101.0,87.0,147.0,105.0,2010.0,3.0,5.0,8.0,84.0,5.1,1010.0,-9.1,0.0,1.2,NNE,Aotizhongxin
114.0,2900.0,114.0,92.0,159.0,106.0,2010.0,3.0,5.0,9.0,84.0,7.7,1010.0,-8.4,0.0,1.5,NNE,Aotizhongxin
131.0,2700.0,107.0,104.0,177.0,107.0,2010.0,3.0,5.0,10.0,84.0,9.4,1010.0,-8.2,0.0,1.5,NE,Aotizhongxin
138.0,2300.0,109.0,115.0,184.0,108.0,2010.0,3.0,5.0,11.0,84.0,10.6,1010.0,-8.1,0.0,1.4,NNE,Aotizhongxin
142.0,2300.0,104.0,136.0,184.0,109.0,2010.0,3.0,5.0,12.0,15.0,11.9,1010.0,-7.5,0.0,1.3,NNW,Aotizhongxin
163.0,2200.0,94.0,147.0,193.0,110.0,2010.0,3.0,5.0,13.0,84.0,12.6,1010.0,-8.0,0.0,1.0,N,Aotizhongxin
168.0,2100.0,85.0,158.0,182.0,111.0,2010.0,3.0,5.0,14.0,84.0,13.5,1010.0,-7.8,0.0,1.4,NNE,Aotizhongxin
165.0,2200.0,85.0,172.0,171.0,112.0,2010.0,3.0,5.0,15.0,78.0,13.8,1010.0,-7.6,0.0,1.2,NE,Aotizhongxin
166.0,2700.0,97.0,194.0,186.0,113.0,2010.0,3.0,5.0,16.0,78.0,13.2,1010.0,-7.0,0.0,2.0,NE,Aotizhongxin
190.0,2800.0,101.0,204.0,218.0,114.0,2010.0,3.0,5.0,17.0,75.0,12.1,1010.0,-6.4,0.0,1.6,NNE,Aotizhongxin
203.0,2500.0,107.0,197.0,248.0,115.0,2010.0,3.0,5.0,18.0,53.0,9.0,1010.0,-5.7,0.0,1.4,NE,Aotizhongxin
210.0,2200.0,103.0,188.0,255.0,116.0,2010.0,3.0,5.0,19.0,40.0,5.3,1010.0,-4.8,0.0,0.0,ESE,Aotizhongxin
205.0,2500.0,106.0,189.0,244.0,117.0,2010.0,3.0,5.0,20.0,39.0,3.3,1010.0,-4.7,0.0,0.2,N,Aotizhongxin
215.0,3100.0,93.0,178.0,252.0,118.0,2010.0,3.0,5.0,21.0,31.0,2.9,1010.0,-4.6,0.0,1.2,NNE,Aotizhongxin
219.0,3200.0,92.0,169.0,253.0,119.0,2010.0,3.0,5.0,22.0,29.0,5.2,1010.0,-6.1,0.0,1.1,NE,Aotizhongxin
226.0,4400.0,147.0,184.0,269.0,120.0,2010.0,3.0,5.0,23.0,29.0,4.9,1010.0,-6.1,0.0,1.4,NE,Aotizhongxin
284.0,4000.0,133.0,174.0,315.0,121.0,2010.0,3.0,6.0,0.0,28.0,4.9,1010.0,-6.4,0.0,1.2,NE,Aotizhongxin
272.0,4000.0,131.0,166.0,300.0,122.0,2010.0,3.0,6.0,1.0,22.0,4.8,1010.0,-5.9,0.0,1.5,NE,Aotizhongxin
242.0,3200.0,109.0,146.0,265.0,123.0,2010.0,3.0,6.0,2.0,22.0,4.1,1010.0,-5.9,0.0,1.9,NE,Aotizhongxin
212.0,2600.0,90.0,141.0,229.0,124.0,2010.0,3.0,6.0,3.0,22.0,4.0,1010.0,-6.3,0.0,1.9,NE,Aotizhongxin
188.0,2500.0,92.0,143.0,194.0,126.0,2010.0,3.0,6.0,5.0,22.0,4.1,1010.0,-5.7,0.0,1.6,NE,Aotizhongxin
186.0,2600.0,94.0,131.0,194.0,127.0,2010.0,3.0,6.0,6.0,22.0,4.5,1010.0,-5.3,0.0,2.0,NE,Aotizhongxin
188.0,2700.0,92.0,129.0,196.0,128.0,2010.0,3.0,6.0,7.0,22.0,5.7,1010.0,-5.0,0.0,1.7,NE,Aotizhongxin
194.0,2500.0,102.0,113.0,205.0,129.0,2010.0,3.0,6.0,8.0,22.0,6.6,1010.0,-4.8,0.0,1.7,NE,Aotizhongxin
184.0,2400.0,98.0,102.0,198.0,130.0,2010.0,3.0,6.0,9.0,22.0,7.5,1010.0,-4.6,0.0,1.7,NE,Aotizhongxin
175.0,2600.0,107.0,103.0,198.0,131.0,2010.0,3.0,6.0,10.0,22.0,8.7,1010.0,-4.5,0.0,1.5,NE,Aotizhongxin
179.0,2400.0,119.0,105.0,212.0,132.0,2010.0,3.0,6.0,11.0,22.0,10.1,1010.0,-4.7,0.0,1.4,NE,Aotizhongxin
192.0,2300.0,124.0,113.0,219.0,133.0,2010.0,3.0,6.0,12.0,22.0,11.1,1010.0,-4.2,0.0,0.4,ENE,Aotizhongxin
201.0,2700.0,126.0,136.0,233.0,134.0,2010.0,3.0,6.0,13.0,22.0,12.6,1010.0,-3.7,0.0,1.5,WSW,Aotizhongxin
230.0,2800.0,130.0,146.0,265.0,135.0,2010.0,3.0,6.0,14.0,14.0,14.5,1010.0,-3.3,0.0,1.6,SSE,Aotizhongxin
246.0,2900.0,140.0,157.0,277.0,136.0,2010.0,3.0,6.0,15.0,10.0,14.7,1010.0,-3.2,0.0,2.5,SSW,Aotizhongxin
248.0,2800.0,154.0,146.0,285.0,137.0,2010.0,3.0,6.0,16.0,17.0,14.2,1010.0,-3.2,0.0,1.4,S,Aotizhongxin
230.0,3200.0,145.0,171.0,276.0,138.0,2010.0,3.0,6.0,17.0,17.0,11.6,1010.0,-3.4,0.0,1.1,SSW,Aotizhongxin
239.0,3500.0,142.0,177.0,291.0,139.0,2010.0,3.0,6.0,18.0,17.0,6.8,1010.0,-2.9,0.0,0.9,WSW,Aotizhongxin
242.0,3700.0,124.0,164.0,338.0,140.0,2010.0,3.0,6.0,19.0,17.0,5.1,1010.0,-2.5,0.0,1.2,WSW,Aotizhongxin
254.0,4200.0,107.0,154.0,396.0,141.0,2010.0,3.0,6.0,20.0,17.0,4.4,1010.0,-2.5,0.0,1.1,SSW,Aotizhongxin
266.0,3800.0,117.0,159.0,380.0,142.0,2010.0,3.0,6.0,21.0,17.0,3.8,1010.0,-2.2,0.0,1.9,WSW,Aotizhongxin
254.0,4100.0,111.0,148.0,335.0,143.0,2010.0,3.0,6.0,22.0,17.0,2.4,1010.0,-2.5,0.0,1.2,WSW,Aotizhongxin
260.0,4000.0,119.0,145.0,360.0,144.0,2010.0,3.0,6.0,23.0,17.0,2.3,1010.0,-2.4,0.0,1.3,NNE,Aotizhongxin
250.0,4000.0,102.0,139.0,319.0,145.0,2010.0,3.0,7.0,0.0,17.0,1.5,1010.0,-2.6,0.0,0.8,NNE,Aotizhongxin
240.0,4000.0,91.0,127.0,297.0,146.0,2010.0,3.0,7.0,1.0,17.0,0.7,1010.0,-2.7,0.0,1.2,SE,Aotizhongxin
238.0,4000.0,83.0,133.0,294.0,147.0,2010.0,3.0,7.0,2.0,17.0,1.5,1010.0,-2.5,0.0,0.6,NNE,Aotizhongxin
243.0,4100.0,86.0,121.0,293.0,148.0,2010.0,3.0,7.0,3.0,17.0,0.3,1010.0,-2.7,0.0,1.7,WNW,Aotizhongxin
246.0,5000.0,57.0,113.0,304.0,149.0,2010.0,3.0,7.0,4.0,17.0,-0.9,1010.0,-3.3,0.0,0.5,N,Aotizhongxin
275.0,5600.0,46.0,103.0,337.0,150.0,2010.0,3.0,7.0,5.0,17.0,1.6,1010.0,-1.5,0.0,1.7,NNE,Aotizhongxin
306.0,5700.0,41.0,114.0,366.0,151.0,2010.0,3.0,7.0,6.0,17.0,0.3,1010.0,-2.7,0.0,0.4,SW,Aotizhongxin
320.0,4600.0,46.0,124.0,374.0,152.0,2010.0,3.0,7.0,7.0,17.0,2.4,1010.0,-1.4,0.0,1.5,NNE,Aotizhongxin
292.0,3700.0,78.0,106.0,344.0,153.0,2010.0,3.0,7.0,8.0,17.0,8.3,1010.0,-1.0,0.0,0.8,NNE,Aotizhongxin
251.0,3300.0,182.0,116.0,282.0,154.0,2010.0,3.0,7.0,9.0,17.0,10.1,1010.0,-0.7,0.0,0.6,W,Aotizhongxin
228.0,3200.0,166.0,135.0,255.0,155.0,2010.0,3.0,7.0,10.0,17.0,12.7,1010.0,-1.6,0.0,1.2,ENE,Aotizhongxin
217.0,4000.0,169.0,171.0,255.0,156.0,2010.0,3.0,7.0,11.0,17.0,16.5,1000.0,-1.6,0.0,1.7,WSW,Aotizhongxin
255.0,4000.0,154.0,201.0,311.0,157.0,2010.0,3.0,7.0,12.0,17.0,17.1,1000.0,-3.1,0.0,3.7,SSW,Aotizhongxin
258.0,3700.0,111.0,226.0,283.0,158.0,2010.0,3.0,7.0,13.0,17.0,17.7,1000.0,-3.2,0.0,3.1,SW,Aotizhongxin
277.0,2900.0,102.0,167.0,284.0,159.0,2010.0,3.0,7.0,14.0,39.0,18.3,999.0,-3.2,0.0,3.6,SSW,Aotizhongxin
282.0,2400.0,79.0,130.0,326.0,160.0,2010.0,3.0,7.0,15.0,61.0,18.6,998.0,-1.8,0.0,3.3,SSW,Aotizhongxin
267.0,1900.0,62.0,97.0,310.0,161.0,2010.0,3.0,7.0,16.0,80.0,17.9,997.0,-0.9,0.0,1.9,SW,Aotizhongxin
216.0,1600.0,64.0,86.0,257.0,162.0,2010.0,3.0,7.0,17.0,84.0,15.4,997.0,-1.7,0.0,1.4,NNW,Aotizhongxin
201.0,1900.0,76.0,125.0,255.0,163.0,2010.0,3.0,7.0,18.0,84.0,14.4,997.0,-2.5,0.0,1.9,N,Aotizhongxin
211.0,2400.0,79.0,173.0,287.0,164.0,2010.0,3.0,7.0,19.0,10.0,13.4,998.0,-2.6,0.0,1.5,NNE,Aotizhongxin
227.0,3400.0,99.0,207.0,298.0,165.0,2010.0,3.0,7.0,20.0,84.0,11.8,998.0,-2.1,0.0,1.5,NE,Aotizhongxin
282.0,4000.0,114.0,213.0,377.0,166.0,2010.0,3.0,7.0,21.0,84.0,9.2,998.0,-1.3,0.0,1.4,NNE,Aotizhongxin
363.0,4000.0,126.0,210.0,452.0,167.0,2010.0,3.0,7.0,22.0,84.0,7.5,998.0,-1.2,0.0,1.3,NE,Aotizhongxin
376.0,3800.0,128.0,209.0,426.0,168.0,2010.0,3.0,7.0,23.0,84.0,6.6,998.0,-0.9,0.0,0.1,E,Aotizhongxin
344.0,3800.0,107.0,195.0,389.0,169.0,2010.0,3.0,8.0,0.0,84.0,4.1,998.0,-1.3,0.0,0.0,ESE,Aotizhongxin
339.0,4100.0,90.0,177.0,370.0,170.0,2010.0,3.0,8.0,1.0,84.0,3.3,998.0,-1.7,0.0,0.9,N,Aotizhongxin
315.0,3200.0,47.0,144.0,346.0,174.0,2010.0,3.0,8.0,5.0,84.0,1.4,999.0,-1.5,0.0,0.8,SW,Aotizhongxin
310.0,3300.0,45.0,146.0,327.0,175.0,2010.0,3.0,8.0,6.0,84.0,1.1,1000.0,-1.8,0.0,0.8,WSW,Aotizhongxin
309.0,4100.0,44.0,145.0,318.0,176.0,2010.0,3.0,8.0,7.0,84.0,5.7,1000.0,0.5,0.0,1.0,NNE,Aotizhongxin
310.0,4900.0,88.0,137.0,337.0,177.0,2010.0,3.0,8.0,8.0,84.0,10.9,1000.0,1.4,0.0,0.7,SE,Aotizhongxin
326.0,5200.0,144.0,149.0,371.0,178.0,2010.0,3.0,8.0,9.0,84.0,16.9,1000.0,-0.4,0.0,1.0,E,Aotizhongxin
219.0,3100.0,83.0,160.0,362.0,180.0,2010.0,3.0,8.0,11.0,84.0,20.5,1000.0,-3.3,0.0,4.4,SSW,Aotizhongxin
104.0,1400.0,37.0,101.0,194.0,181.0,2010.0,3.0,8.0,12.0,84.0,21.7,999.0,-2.3,0.0,3.0,S,Aotizhongxin
